Weekly_GenAI_Hours,Traditional_Study_Hours,Perceived_AI_Dependency,Burnout_Risk_Level,Anxiety_Level_During_Exams,Institutional_Policy
1.46,10.07,3,high,6,actively_encouraged
34.0,11.1,8,high,6,allowed_with_citation
2.87,9.94,2,low,6,allowed_with_citation
26.5,10.71,7,medium,6,actively_encouraged
1.92,11.83,4,medium,6,actively_encouraged
0.18,12.89,5,medium,6,allowed_with_citation
1.0,16.28,4,medium,6,actively_encouraged
8.3,16.49,3,medium,6,actively_encouraged
9.42,5.95,4,high,6,actively_encouraged
10.99,4.48,4,medium,6,actively_encouraged
25.31,11.38,4,high,6,actively_encouraged
7.32,18.17,5,low,6,actively_encouraged
5.23,8.8,4,medium,6,strict_ban
0.63,10.91,1,high,6,strict_ban
4.21,19.57,1,low,6,allowed_with_citation
6.58,9.96,2,low,6,strict_ban
2.29,14.04,3,low,6,allowed_with_citation
13.26,6.93,4,medium,6,allowed_with_citation
36.0,7.64,9,high,6,strict_ban
0.87,14.36,1,low,6,actively_encouraged
12.06,12.86,3,high,6,strict_ban
10.35,18.48,2,medium,6,allowed_with_citation
1.95,16.01,2,medium,6,actively_encouraged
4.61,10.4,3,medium,6,actively_encouraged
17.15,18.42,4,high,6,strict_ban
11.76,1.0,2,high,6,strict_ban
3.52,14.48,6,low,6,allowed_with_citation
3.63,18.98,1,low,6,actively_encouraged
1.13,22.01,3,low,6,allowed_with_citation
6.29,10.41,3,low,6,allowed_with_citation
1.72,5.06,4,low,6,allowed_with_citation
2.82,16.05,1,medium,6,actively_encouraged
6.59,16.82,5,medium,6,allowed_with_citation
9.96,12.41,4,medium,6,allowed_with_citation
1.02,10.03,1,low,6,allowed_with_citation
2.51,3.66,1,medium,6,strict_ban
6.73,9.56,6,high,6,allowed_with_citation
0.29,18.11,3,medium,6,actively_encouraged
19.15,13.51,6,high,6,allowed_with_citation
8.15,6.62,6,medium,6,actively_encouraged
7.43,10.15,1,low,6,allowed_with_citation
12.83,9.76,5,medium,6,actively_encouraged
3.16,11.56,5,high,6,actively_encouraged
13.42,8.57,5,medium,6,allowed_with_citation
0.52,9.32,4,medium,6,allowed_with_citation
9.3,4.31,5,high,6,strict_ban
2.62,15.64,4,medium,6,actively_encouraged
7.5,5.46,4,medium,6,actively_encouraged
10.93,8.56,4,high,6,strict_ban
1.21,16.29,2,medium,6,strict_ban
0.24,21.15,2,low,6,strict_ban
3.0,15.46,1,medium,6,actively_encouraged
4.42,7.96,5,medium,6,actively_encouraged
8.25,13.93,1,medium,6,allowed_with_citation
2.64,16.82,2,medium,6,strict_ban
7.86,7.77,3,medium,6,allowed_with_citation
18.69,5.02,4,medium,6,actively_encouraged
2.97,12.15,1,low,6,strict_ban
1.31,21.07,2,medium,6,strict_ban
19.7,17.97,5,medium,6,allowed_with_citation
1.01,11.55,1,low,6,actively_encouraged
6.51,15.95,2,medium,6,allowed_with_citation
2.13,5.15,2,low,6,actively_encouraged
19.54,11.39,3,high,6,allowed_with_citation
7.4,8.9,5,high,6,strict_ban
5.58,11.42,4,medium,6,allowed_with_citation
8.38,3.82,2,low,6,allowed_with_citation
0.5,9.93,2,low,6,allowed_with_citation
1.09,21.25,4,medium,6,allowed_with_citation
1.95,7.41,3,medium,6,actively_encouraged
1.37,6.4,4,medium,6,allowed_with_citation
3.3,1.0,6,high,6,actively_encouraged
26.85,7.69,7,medium,6,actively_encouraged
13.3,10.06,6,medium,6,allowed_with_citation
29.13,24.96,7,high,6,allowed_with_citation
0.0,18.51,3,low,6,allowed_with_citation
18.57,10.25,7,high,6,actively_encouraged
16.86,14.44,5,medium,6,strict_ban
0.53,18.15,3,low,6,allowed_with_citation
4.44,7.92,2,low,6,actively_encouraged
20.79,8.37,7,medium,6,actively_encouraged
10.53,9.18,5,medium,6,allowed_with_citation
7.61,13.61,2,medium,6,allowed_with_citation
13.25,10.37,2,high,6,actively_encouraged
19.98,12.67,7,high,6,allowed_with_citation
4.28,7.36,6,low,6,actively_encouraged
1.48,8.03,1,medium,6,strict_ban
4.63,8.27,5,low,6,allowed_with_citation
19.78,12.62,4,medium,6,allowed_with_citation
3.08,11.98,3,high,6,allowed_with_citation
7.47,7.49,5,low,6,allowed_with_citation
7.01,6.66,3,medium,6,allowed_with_citation
22.17,9.96,6,high,6,strict_ban
22.73,8.56,8,high,6,allowed_with_citation
16.05,14.56,4,low,6,actively_encouraged
2.22,10.24,2,high,6,allowed_with_citation
1.31,6.58,3,low,6,actively_encouraged
1.09,14.38,2,low,6,actively_encouraged
29.58,10.65,5,high,6,actively_encouraged
23.31,5.77,5,high,6,actively_encouraged
11.19,13.75,7,high,6,strict_ban
5.55,6.95,4,medium,6,allowed_with_citation
10.36,7.4,5,medium,6,actively_encouraged
17.7,1.0,5,high,6,actively_encouraged
11.87,13.44,6,high,6,allowed_with_citation
7.22,18.77,4,high,6,allowed_with_citation
1.79,17.55,3,low,6,actively_encouraged
8.43,9.79,5,medium,6,strict_ban
22.59,4.14,5,high,6,actively_encouraged
12.42,10.38,2,medium,6,allowed_with_citation
18.76,6.55,6,high,6,allowed_with_citation
7.7,11.78,2,medium,6,allowed_with_citation
4.72,17.11,3,low,6,strict_ban
3.97,9.36,6,medium,6,actively_encouraged
6.36,12.27,4,high,6,actively_encouraged
3.0,7.96,2,low,6,actively_encouraged
4.53,3.77,1,low,6,allowed_with_citation
8.7,5.73,3,low,6,allowed_with_citation
14.95,7.68,3,medium,6,actively_encouraged
0.06,20.41,2,low,6,allowed_with_citation
1.69,19.05,2,medium,6,actively_encouraged
15.24,8.59,6,high,6,allowed_with_citation
1.7,10.58,4,high,6,allowed_with_citation
40.0,10.98,10,high,6,strict_ban
19.53,14.52,3,medium,6,allowed_with_citation
13.59,13.12,5,medium,6,actively_encouraged
2.09,9.33,4,high,6,actively_encouraged
9.17,12.35,3,low,6,strict_ban
9.38,8.52,3,medium,6,actively_encouraged
2.64,2.57,4,medium,6,allowed_with_citation
0.78,15.88,2,low,6,strict_ban
4.0,9.91,3,medium,6,strict_ban
8.92,14.62,4,medium,6,actively_encouraged
17.89,1.0,6,high,6,allowed_with_citation
2.82,10.33,5,high,6,allowed_with_citation
11.64,5.36,4,low,6,allowed_with_citation
6.45,16.94,4,medium,6,strict_ban
1.73,17.02,1,low,6,strict_ban
0.35,14.24,1,low,6,allowed_with_citation
15.96,20.25,3,medium,6,strict_ban
2.08,12.75,3,low,6,allowed_with_citation
12.17,8.72,5,medium,6,actively_encouraged
40.0,11.5,9,high,6,allowed_with_citation
13.27,10.38,5,high,6,strict_ban
4.91,11.97,4,high,6,actively_encouraged
3.93,13.0,4,low,6,actively_encouraged
0.16,8.77,4,high,6,allowed_with_citation
9.39,12.28,5,low,6,allowed_with_citation
12.19,10.21,5,medium,6,strict_ban
0.79,11.33,2,medium,6,actively_encouraged
8.76,14.25,2,low,6,strict_ban
5.52,7.54,2,medium,6,allowed_with_citation
0.54,11.63,2,low,6,actively_encouraged
23.7,11.16,4,medium,6,strict_ban
0.41,16.64,1,medium,6,actively_encouraged
20.59,7.08,8,medium,6,actively_encouraged
14.8,11.99,7,medium,6,allowed_with_citation
0.57,19.92,6,low,6,actively_encouraged
7.01,2.58,6,low,6,allowed_with_citation
1.29,10.5,2,high,6,actively_encouraged
3.08,12.93,2,medium,6,allowed_with_citation
5.27,7.22,2,low,6,allowed_with_citation
40.0,9.22,10,high,6,actively_encouraged
38.78,1.0,7,high,6,actively_encouraged
5.67,11.77,4,low,6,strict_ban
6.51,5.89,5,medium,6,allowed_with_citation
7.61,9.26,4,medium,6,allowed_with_citation
23.26,5.54,7,high,6,allowed_with_citation
8.78,6.9,7,medium,6,actively_encouraged
7.76,24.09,3,medium,6,actively_encouraged
3.11,9.43,4,low,6,allowed_with_citation
3.36,6.7,2,medium,6,allowed_with_citation
4.86,18.54,2,medium,6,strict_ban
1.78,4.22,3,medium,6,allowed_with_citation
16.06,6.61,6,high,6,actively_encouraged
3.54,16.51,4,medium,6,allowed_with_citation
4.83,10.17,3,high,6,actively_encouraged
30.87,1.99,6,high,6,allowed_with_citation
3.46,12.33,1,low,6,strict_ban
18.68,6.54,5,low,6,allowed_with_citation
6.01,15.97,3,medium,6,allowed_with_citation
9.69,11.9,4,low,6,actively_encouraged
6.8,1.62,5,medium,6,allowed_with_citation
1.77,9.95,4,medium,6,strict_ban
9.73,3.84,5,medium,6,strict_ban
3.73,1.43,1,medium,6,strict_ban
6.18,10.5,4,medium,6,actively_encouraged
11.05,3.76,7,high,6,strict_ban
17.01,17.18,7,high,6,strict_ban
23.58,7.72,7,high,6,allowed_with_citation
3.82,1.0,3,medium,6,allowed_with_citation
16.98,3.22,7,medium,6,allowed_with_citation
7.7,15.04,4,medium,6,strict_ban
5.02,7.88,2,medium,6,allowed_with_citation
33.03,14.29,10,high,6,actively_encouraged
0.63,13.24,2,low,6,allowed_with_citation
7.3,11.45,2,low,6,actively_encouraged
3.86,12.06,2,low,6,actively_encouraged
1.57,12.24,1,medium,6,allowed_with_citation
26.19,17.39,5,medium,6,actively_encouraged
9.32,12.25,3,low,6,allowed_with_citation
3.34,16.96,4,low,6,allowed_with_citation
19.44,13.64,4,medium,6,actively_encouraged
4.83,9.14,3,medium,6,allowed_with_citation
10.71,4.06,5,low,6,allowed_with_citation
0.96,22.33,4,low,6,allowed_with_citation
0.88,17.18,4,medium,6,allowed_with_citation
16.11,1.0,4,high,6,allowed_with_citation
1.13,10.79,4,medium,6,allowed_with_citation
7.72,23.17,4,high,6,strict_ban
3.26,6.75,4,low,6,allowed_with_citation
2.83,26.74,5,medium,6,strict_ban
4.51,13.7,5,medium,6,actively_encouraged
9.68,6.52,2,low,6,allowed_with_citation
14.44,6.11,2,high,6,allowed_with_citation
6.16,14.91,3,high,6,allowed_with_citation
1.17,18.9,2,low,6,strict_ban
8.26,20.69,3,high,6,allowed_with_citation
8.28,2.05,5,high,6,allowed_with_citation
10.39,3.2,3,low,6,allowed_with_citation
6.71,14.69,4,medium,6,actively_encouraged
9.76,17.88,2,medium,6,allowed_with_citation
0.29,13.19,4,low,6,actively_encouraged
0.75,16.07,4,medium,6,strict_ban
4.41,7.68,2,medium,6,allowed_with_citation
20.42,18.15,7,medium,6,actively_encouraged
16.95,19.79,5,low,6,actively_encouraged
12.88,12.09,3,medium,6,allowed_with_citation
2.94,13.47,4,low,6,allowed_with_citation
10.19,8.28,5,medium,6,strict_ban
7.11,11.61,3,low,6,allowed_with_citation
27.68,18.38,4,high,6,actively_encouraged
17.54,6.29,7,high,6,allowed_with_citation
40.0,12.41,8,high,6,actively_encouraged
18.33,9.22,7,high,6,strict_ban
13.68,11.85,5,low,6,allowed_with_citation
5.73,10.36,4,low,6,allowed_with_citation
12.27,7.92,6,medium,6,allowed_with_citation
10.22,11.59,6,medium,6,allowed_with_citation
2.25,11.66,2,medium,6,actively_encouraged
4.85,13.55,1,medium,6,allowed_with_citation
11.35,11.94,5,medium,6,allowed_with_citation
0.96,4.95,3,medium,6,actively_encouraged
9.72,7.0,6,medium,6,allowed_with_citation
22.09,1.0,9,medium,6,actively_encouraged
23.11,6.36,7,high,6,actively_encouraged
2.05,13.6,4,medium,6,allowed_with_citation
17.77,6.49,7,high,6,strict_ban
27.17,12.52,8,medium,6,actively_encouraged
8.26,16.33,5,medium,6,strict_ban
1.19,10.1,4,medium,6,allowed_with_citation
12.27,8.44,6,medium,6,actively_encouraged
1.19,7.69,1,low,6,allowed_with_citation
9.23,17.45,5,medium,6,allowed_with_citation
0.56,14.16,3,medium,6,actively_encouraged
2.6,8.47,3,medium,6,actively_encouraged
4.71,5.15,1,low,6,allowed_with_citation
2.4,16.62,3,low,6,allowed_with_citation
1.05,11.35,2,low,6,allowed_with_citation
1.43,8.91,3,low,6,allowed_with_citation
2.4,13.43,4,high,6,allowed_with_citation
18.39,8.34,5,medium,6,allowed_with_citation
6.37,10.29,4,medium,6,allowed_with_citation
1.58,20.66,2,medium,6,allowed_with_citation
21.5,6.4,7,high,6,actively_encouraged
28.38,9.2,7,high,6,strict_ban
19.68,15.63,6,high,6,actively_encouraged
15.2,1.0,5,high,6,actively_encouraged
0.9,4.06,5,low,6,actively_encouraged
6.57,11.26,2,medium,6,strict_ban
0.79,12.95,3,low,6,actively_encouraged
7.02,9.16,3,medium,6,allowed_with_citation
25.27,7.74,7,high,6,actively_encouraged
4.69,13.39,3,low,6,actively_encouraged
40.0,7.43,7,high,6,allowed_with_citation
0.63,4.86,1,low,6,allowed_with_citation
3.07,10.17,4,medium,6,actively_encouraged
2.34,1.52,4,medium,6,allowed_with_citation
7.81,10.44,5,high,6,actively_encouraged
35.99,3.73,9,high,6,allowed_with_citation
16.64,8.53,4,high,6,allowed_with_citation
23.06,6.91,4,low,6,allowed_with_citation
16.9,14.79,7,high,6,allowed_with_citation
4.35,11.65,3,low,6,strict_ban
5.86,9.18,2,medium,6,actively_encouraged
0.69,28.39,4,low,6,actively_encouraged
2.28,12.61,2,low,6,allowed_with_citation
20.24,10.66,6,medium,6,allowed_with_citation
1.33,19.17,3,medium,6,actively_encouraged
5.67,9.74,2,high,6,allowed_with_citation
15.06,12.22,5,medium,6,allowed_with_citation
12.4,4.61,5,medium,6,allowed_with_citation
6.07,9.53,2,medium,6,strict_ban
18.79,18.25,4,high,6,allowed_with_citation
7.6,12.3,4,medium,6,allowed_with_citation
19.38,8.32,5,high,6,actively_encouraged
16.92,13.46,4,high,6,actively_encouraged
24.0,2.28,7,high,6,allowed_with_citation
2.39,11.59,5,medium,6,allowed_with_citation
21.46,21.49,8,high,6,allowed_with_citation
2.07,18.03,1,low,6,strict_ban
0.13,13.58,2,low,6,actively_encouraged
1.25,13.64,4,medium,6,allowed_with_citation
10.71,4.03,5,medium,6,allowed_with_citation
0.34,12.27,2,low,6,actively_encouraged
15.3,5.26,6,medium,6,actively_encouraged
9.34,14.31,1,low,6,allowed_with_citation
3.38,7.95,4,medium,6,strict_ban
16.02,1.0,6,medium,6,allowed_with_citation
4.18,12.47,2,low,6,strict_ban
7.95,11.18,2,high,6,allowed_with_citation
6.04,8.45,3,medium,6,strict_ban
7.5,1.0,4,high,6,allowed_with_citation
8.58,1.0,2,medium,6,actively_encouraged
5.28,12.95,2,low,6,allowed_with_citation
0.11,18.2,5,low,6,allowed_with_citation
1.87,14.92,3,medium,6,strict_ban
9.53,17.95,4,low,6,actively_encouraged
0.53,6.25,4,low,6,actively_encouraged
4.79,7.79,5,low,6,allowed_with_citation
2.94,13.81,6,medium,6,actively_encouraged
0.14,1.59,5,low,6,allowed_with_citation
40.0,7.58,5,high,6,allowed_with_citation
5.34,15.79,1,medium,6,allowed_with_citation
1.42,4.71,3,low,6,allowed_with_citation
2.39,13.63,5,medium,6,strict_ban
9.66,3.89,5,medium,6,actively_encouraged
6.91,12.89,5,low,6,actively_encouraged
8.19,12.82,4,high,6,allowed_with_citation
1.16,7.22,2,medium,6,allowed_with_citation
40.0,10.35,6,high,6,allowed_with_citation
2.21,7.72,4,medium,6,strict_ban
3.93,4.88,3,low,6,allowed_with_citation
5.06,13.01,2,low,6,allowed_with_citation
12.2,4.45,4,medium,6,allowed_with_citation
6.42,9.65,5,medium,6,actively_encouraged
13.42,10.64,2,high,6,strict_ban
4.38,16.83,3,medium,6,actively_encouraged
1.72,14.14,2,low,6,allowed_with_citation
4.15,9.81,1,low,6,actively_encouraged
0.47,9.42,2,medium,6,allowed_with_citation
13.21,8.15,7,low,6,actively_encouraged
1.47,6.29,2,low,6,actively_encouraged
0.25,8.22,1,medium,6,actively_encouraged
5.24,13.19,1,low,6,strict_ban
12.06,3.5,5,medium,6,actively_encouraged
6.07,8.97,2,medium,6,strict_ban
3.4,14.61,3,medium,6,allowed_with_citation
16.26,13.89,6,high,6,actively_encouraged
2.94,11.44,4,low,6,actively_encouraged
0.37,5.61,3,low,6,actively_encouraged
0.16,9.89,3,medium,6,allowed_with_citation
20.02,18.23,2,high,6,allowed_with_citation
0.09,1.0,3,medium,6,allowed_with_citation
6.14,8.1,6,low,6,allowed_with_citation
8.03,5.23,2,medium,6,allowed_with_citation
15.83,10.63,3,medium,6,strict_ban
6.32,16.98,5,low,6,allowed_with_citation
2.52,14.62,3,low,6,allowed_with_citation
1.47,1.0,1,medium,6,allowed_with_citation
1.86,22.97,2,low,6,strict_ban
0.11,11.18,4,medium,6,allowed_with_citation
9.19,8.04,4,high,6,allowed_with_citation
1.63,2.78,2,low,6,allowed_with_citation
16.95,12.09,8,high,6,allowed_with_citation
16.44,9.56,5,high,6,actively_encouraged
0.99,2.02,3,medium,6,allowed_with_citation
8.05,11.66,4,medium,6,strict_ban
8.41,1.0,3,medium,6,actively_encouraged
6.39,13.24,3,medium,6,allowed_with_citation
9.13,11.11,3,high,6,strict_ban
3.4,17.06,1,low,6,strict_ban
8.73,10.18,5,high,6,actively_encouraged
9.84,11.36,2,high,6,strict_ban
13.99,1.0,5,high,6,actively_encouraged
21.22,9.01,7,high,6,allowed_with_citation
5.54,19.02,4,medium,6,actively_encouraged
40.0,6.99,9,high,6,allowed_with_citation
15.76,9.66,6,high,6,allowed_with_citation
5.26,4.75,4,medium,6,strict_ban
9.34,12.5,5,medium,6,allowed_with_citation
8.01,8.72,5,medium,6,allowed_with_citation
10.88,20.07,6,low,6,allowed_with_citation
15.68,16.81,3,medium,6,allowed_with_citation
4.59,14.77,1,high,6,allowed_with_citation
24.0,11.58,6,high,6,allowed_with_citation
21.81,9.9,5,high,6,allowed_with_citation
6.63,5.21,4,high,6,strict_ban
13.26,13.27,6,medium,6,allowed_with_citation
3.36,15.86,5,high,6,allowed_with_citation
20.43,17.07,5,medium,6,allowed_with_citation
5.43,10.43,2,medium,6,strict_ban
0.64,19.97,5,low,6,actively_encouraged
4.42,10.98,1,high,6,actively_encouraged
16.88,14.66,6,medium,6,actively_encouraged
23.26,11.05,7,high,6,allowed_with_citation
3.56,5.79,4,low,6,allowed_with_citation
14.57,12.04,5,high,6,allowed_with_citation
25.61,8.94,7,medium,6,allowed_with_citation
0.66,1.0,2,medium,6,allowed_with_citation
3.07,12.29,3,medium,6,strict_ban
11.83,9.48,5,high,6,strict_ban
2.91,9.68,3,high,6,allowed_with_citation
9.69,11.65,5,medium,6,allowed_with_citation
6.5,9.99,3,high,6,actively_encouraged
5.45,9.96,4,low,6,allowed_with_citation
26.86,11.64,7,medium,6,allowed_with_citation
0.16,14.85,2,medium,6,allowed_with_citation
3.23,14.78,3,medium,6,actively_encouraged
18.09,16.53,6,high,6,allowed_with_citation
8.7,6.47,3,medium,6,allowed_with_citation
2.31,8.42,4,medium,6,actively_encouraged
13.26,11.88,6,high,6,allowed_with_citation
0.02,6.66,2,medium,6,allowed_with_citation
3.31,16.53,2,high,6,allowed_with_citation
2.19,13.87,3,low,6,allowed_with_citation
3.32,13.08,4,high,6,actively_encouraged
15.54,4.79,4,high,6,allowed_with_citation
2.75,20.99,1,medium,6,actively_encouraged
6.8,8.37,5,low,6,actively_encouraged
2.96,4.45,3,low,6,allowed_with_citation
7.26,14.17,4,medium,6,actively_encouraged
0.12,12.05,2,low,6,allowed_with_citation
13.17,7.6,3,medium,6,allowed_with_citation
14.63,15.69,5,high,6,strict_ban
21.07,10.66,5,high,6,actively_encouraged
17.05,13.96,4,medium,6,allowed_with_citation
0.52,16.3,3,high,6,allowed_with_citation
3.51,12.99,1,low,6,strict_ban
25.99,7.76,6,high,6,strict_ban
26.12,7.11,8,high,6,allowed_with_citation
19.56,6.92,5,medium,6,actively_encouraged
3.92,14.45,4,high,6,allowed_with_citation
1.26,6.11,3,low,6,allowed_with_citation
27.97,4.7,10,high,6,allowed_with_citation
12.08,14.54,5,high,6,allowed_with_citation
11.6,12.71,2,high,6,actively_encouraged
1.42,12.58,4,low,6,allowed_with_citation
9.94,4.58,4,high,6,strict_ban
6.61,5.73,6,medium,6,actively_encouraged
9.31,10.24,4,medium,6,allowed_with_citation
19.7,10.64,4,medium,6,strict_ban
9.13,22.97,4,high,6,allowed_with_citation
13.14,8.55,5,medium,6,actively_encouraged
8.53,8.76,3,high,6,strict_ban
6.1,20.7,3,medium,6,allowed_with_citation
0.87,17.39,2,low,6,allowed_with_citation
1.86,16.47,5,medium,6,allowed_with_citation
5.99,3.81,5,medium,6,strict_ban
2.92,13.65,4,low,6,allowed_with_citation
8.47,17.41,1,medium,6,actively_encouraged
11.6,9.49,5,low,6,allowed_with_citation
6.26,9.07,3,low,6,actively_encouraged
15.54,19.83,5,medium,6,strict_ban
0.88,12.57,1,medium,6,allowed_with_citation
6.93,16.08,3,low,6,strict_ban
7.31,17.95,3,medium,6,allowed_with_citation
13.48,17.49,7,high,6,allowed_with_citation
11.21,6.65,5,medium,6,strict_ban
27.21,14.66,7,high,6,allowed_with_citation
18.99,12.19,6,low,6,strict_ban
2.07,14.09,1,medium,6,allowed_with_citation
11.86,8.27,3,medium,6,actively_encouraged
20.54,14.55,4,high,6,strict_ban
10.75,11.61,6,low,6,actively_encouraged
8.09,13.01,3,medium,6,allowed_with_citation
3.4,7.27,2,medium,6,actively_encouraged
4.98,10.44,3,high,6,allowed_with_citation
0.76,13.84,4,medium,6,strict_ban
26.66,19.61,6,high,6,actively_encouraged
5.25,13.37,1,medium,6,strict_ban
15.67,12.58,3,low,6,allowed_with_citation
13.91,17.33,4,high,6,actively_encouraged
3.47,17.04,3,low,6,allowed_with_citation
6.48,1.0,4,medium,6,allowed_with_citation
1.21,22.56,1,medium,6,allowed_with_citation
2.3,15.62,1,medium,6,allowed_with_citation
11.22,13.37,4,medium,6,strict_ban
7.14,6.7,4,medium,6,allowed_with_citation
0.86,7.46,3,medium,6,strict_ban
19.49,5.66,4,low,6,allowed_with_citation
20.09,13.08,7,high,6,strict_ban
34.0,3.18,6,high,6,allowed_with_citation
2.16,15.26,3,medium,6,actively_encouraged
0.37,10.89,3,low,6,actively_encouraged
4.12,22.91,4,high,6,actively_encouraged
13.3,19.59,4,medium,6,allowed_with_citation
7.74,2.86,1,high,6,allowed_with_citation
12.35,16.67,3,medium,6,allowed_with_citation
2.65,7.9,3,low,6,allowed_with_citation
8.84,16.06,5,high,6,allowed_with_citation
8.56,12.4,5,low,6,strict_ban
7.68,9.58,3,medium,6,allowed_with_citation
0.37,9.11,1,high,6,allowed_with_citation
10.35,14.82,6,medium,6,allowed_with_citation
19.84,4.39,4,high,6,strict_ban
9.93,1.0,6,low,6,strict_ban
1.57,9.18,4,low,6,allowed_with_citation
6.72,12.5,3,medium,6,strict_ban
28.95,10.98,6,high,6,actively_encouraged
21.84,1.89,6,high,6,allowed_with_citation
3.88,12.68,2,low,6,allowed_with_citation
1.92,11.51,3,high,6,allowed_with_citation
11.1,11.66,5,high,6,actively_encouraged
0.47,23.7,3,medium,6,strict_ban
10.86,1.59,2,medium,6,allowed_with_citation
9.02,12.62,3,low,6,strict_ban
4.41,9.1,1,low,6,actively_encouraged
27.78,8.22,6,medium,6,allowed_with_citation
6.5,14.0,1,low,6,allowed_with_citation
3.46,5.94,3,low,6,allowed_with_citation
6.34,14.22,2,medium,6,allowed_with_citation
11.82,13.87,4,high,6,allowed_with_citation
7.03,11.32,4,low,6,allowed_with_citation
5.71,5.7,4,high,6,strict_ban
8.44,8.45,5,medium,6,actively_encouraged
20.52,17.35,3,high,6,actively_encouraged
9.93,15.11,5,medium,6,allowed_with_citation
12.94,12.55,3,medium,6,strict_ban
18.99,4.46,4,high,6,actively_encouraged
40.0,14.71,8,high,6,allowed_with_citation
12.9,15.84,5,high,6,strict_ban
1.69,7.72,2,medium,6,allowed_with_citation
18.06,22.83,7,low,6,actively_encouraged
2.37,4.43,4,low,6,actively_encouraged
11.61,8.08,5,high,6,strict_ban
12.14,10.44,4,low,6,allowed_with_citation
0.52,4.4,3,low,6,strict_ban
7.4,16.92,2,medium,6,actively_encouraged
13.3,1.11,2,high,6,actively_encouraged
16.96,16.88,5,high,6,actively_encouraged
6.2,13.23,1,low,6,allowed_with_citation
9.18,10.76,2,low,6,allowed_with_citation
7.11,20.39,6,medium,6,actively_encouraged
5.35,11.84,3,medium,6,allowed_with_citation
10.96,16.11,6,low,6,actively_encouraged
11.52,14.5,3,high,6,strict_ban
14.98,16.03,3,medium,6,strict_ban
2.91,16.1,3,medium,6,allowed_with_citation
4.54,8.53,6,medium,6,allowed_with_citation
0.01,16.11,5,low,6,allowed_with_citation
1.2,12.83,3,low,6,actively_encouraged
35.9,9.36,10,high,6,actively_encouraged
3.47,12.41,4,low,6,allowed_with_citation
15.63,8.79,5,medium,6,allowed_with_citation
3.35,13.68,4,low,6,allowed_with_citation
7.54,14.79,4,high,6,strict_ban
11.5,19.5,4,low,6,allowed_with_citation
7.19,12.91,5,medium,6,allowed_with_citation
5.27,9.37,4,low,6,actively_encouraged
22.33,9.98,6,high,6,actively_encouraged
7.8,21.34,1,low,6,allowed_with_citation
4.76,13.0,4,low,6,actively_encouraged
1.88,12.78,2,low,6,actively_encouraged
2.56,2.92,1,low,6,allowed_with_citation
2.38,17.0,4,medium,6,strict_ban
4.79,15.06,3,medium,6,strict_ban
24.32,6.2,5,high,6,actively_encouraged
16.28,7.51,7,low,6,allowed_with_citation
30.33,11.76,7,high,6,actively_encouraged
14.34,11.83,5,medium,6,allowed_with_citation
3.5,15.68,5,low,6,allowed_with_citation
6.19,4.88,3,high,6,allowed_with_citation
15.12,7.2,2,low,6,strict_ban
7.23,15.43,2,medium,6,strict_ban
32.84,10.52,5,high,6,allowed_with_citation
4.26,11.12,3,medium,6,actively_encouraged
8.49,8.87,4,high,6,strict_ban
13.77,10.02,4,low,6,allowed_with_citation
11.03,15.93,4,high,6,strict_ban
16.43,2.79,4,medium,6,allowed_with_citation
1.94,9.3,1,low,6,allowed_with_citation
1.15,17.45,1,medium,6,actively_encouraged
9.5,12.39,4,high,6,actively_encouraged
2.86,17.35,3,medium,6,actively_encouraged
11.25,9.95,5,high,6,allowed_with_citation
2.32,24.02,3,medium,6,strict_ban
10.95,8.84,2,medium,6,actively_encouraged
21.02,13.77,5,medium,6,strict_ban
4.78,20.83,4,medium,6,allowed_with_citation
0.6,11.43,2,low,6,allowed_with_citation
1.84,13.04,3,low,6,strict_ban
0.1,17.78,2,low,6,allowed_with_citation
5.43,14.9,3,low,6,actively_encouraged
3.91,7.93,2,low,6,allowed_with_citation
1.22,17.76,5,medium,6,allowed_with_citation
2.27,9.93,3,medium,6,actively_encouraged
2.74,15.33,3,low,6,allowed_with_citation
2.38,5.21,1,medium,6,allowed_with_citation
3.37,10.88,1,low,6,strict_ban
24.84,5.13,7,high,6,allowed_with_citation
16.15,9.38,4,high,6,actively_encouraged
3.39,12.52,1,low,6,actively_encouraged
1.05,11.36,4,medium,6,actively_encouraged
0.4,10.23,4,low,6,strict_ban
1.63,8.5,5,medium,6,strict_ban
3.88,18.24,4,medium,6,allowed_with_citation
7.36,11.52,3,low,6,actively_encouraged
8.04,24.9,5,low,6,strict_ban
4.05,17.98,3,low,6,allowed_with_citation
2.23,17.31,4,low,6,strict_ban
2.46,6.85,4,medium,6,strict_ban
15.59,13.66,3,low,6,actively_encouraged
3.68,8.26,2,low,6,actively_encouraged
5.26,8.62,1,medium,6,actively_encouraged
2.01,2.86,2,low,6,allowed_with_citation
4.29,14.98,2,low,6,strict_ban
1.62,18.26,1,medium,6,strict_ban
7.56,21.03,4,low,6,strict_ban
18.72,11.43,5,high,6,allowed_with_citation
4.88,10.79,5,low,6,actively_encouraged
2.64,1.0,1,medium,6,allowed_with_citation
13.15,16.17,3,medium,6,actively_encouraged
7.42,13.64,3,medium,6,allowed_with_citation
0.09,19.39,1,low,6,actively_encouraged
2.2,11.34,3,medium,6,allowed_with_citation
5.88,10.95,1,medium,6,actively_encouraged
2.74,17.58,1,medium,6,actively_encouraged
